title,url,category,rank,author,original_price,price,savings_percentage
"Oxford Student Atlas for India, Fourth Edition - Useful for Competitive Exams",https://www.amazon.in/Oxford-Student-Atlas-India-Fourth/dp/9391050840/ref=zg_bs_books_sccl_14/257-5962531-4262019?psc=1,None,None,Oxford University Press,370.00,258.00,30%
The Almanack Of Naval Ravikant: A Guide to Wealth and Happiness,https://www.amazon.in/Almanack-Naval-Ravikant-Wealth-Happiness/dp/9354893899/ref=zg_bs_books_sccl_15/257-5962531-4262019?psc=1,Social Sciences,#1,Eric Jorgenson,399.00,203.00,49%
101 Brain Booster Activity Book: Fun Activity Book For Children,https://www.amazon.in/101-Brain-Booster-Activity-Book/dp/9388369793/ref=zg_bs_books_sccl_16/257-5962531-4262019?psc=1,Hobbies & Games for Young Adults,#2,Wonder House Books,225.00,149.00,34%
"Quantitative Aptitude for Competitive Examinations All Government and Entrance Exams (Banking, SSC, Railway, Police, Civil Service, etc.) 40 Videos | 2000+ Solved Examples | 10000+ Practice Questions",https://www.amazon.in/Quantitative-Aptitude-Competitive-Examinations-Revised/dp/9355012322/ref=zg_bs_books_sccl_17/257-5962531-4262019?psc=1,Management Entrance Exams,#2,R. S Aggarwal,799.00,495.00,38%
"Do It Today: Overcome procrastination, improve productivity and achieve more meaningful things [Paperback] Foroux, Darius",https://www.amazon.in/Do-Today-procrastination-productivity-meaningful/dp/0143452126/ref=zg_bs_books_sccl_18/257-5962531-4262019?psc=1,Personal Time Management,#3,Darius Foroux,199.00,127.00,36%
Amnaya Publication Railway Mathematics Book By SAHIL SIR (Hindi & English) [Paperback] [2023],https://www.amazon.in/Publication-Railway-Mathematics-English-Paperback/dp/B0C55MVTYN/ref=zg_bs_books_sccl_19/257-5962531-4262019?psc=1,Indian Railways Recruitment Exams,#1,Sahil Khadelwal,599.00,399.00,33%
Arihant All In One Class 10th Science for CBSE Exam 2024,https://www.amazon.in/Arihant-Class-10th-Science-Exam-2024/dp/9350105993/ref=zg_bs_books_sccl_20/257-5962531-4262019?psc=1,School Bundles,#1,"Sanubia & Rashmi Gupta Sonal Singh & Ruchi Kapoor , Imran Ahmad",575.00,432.00,25%
The Compound Effect,https://www.amazon.in/Compound-Effect-Darren-Hardy/dp/9390924634/ref=zg_bs_books_sccl_21/257-5962531-4262019?psc=1,None,None,Darren Hardy,399.00,154.00,61%
The Silent Patient,https://www.amazon.in/Silent-Patient-Alex-Michaelides/dp/1409181634/ref=zg_bs_books_sccl_22/257-5962531-4262019?psc=1,Crime Fictio,#1,Alex Michaelides,399.00,267.00,33%
R D Sharma Mathematics Class 10 with MCQ in Mathematics - CBSE Examination 2023-2024,https://www.amazon.in/Mathematics-Class-10-Examination-2022-23/dp/B09SJ365JL/ref=zg_bs_books_sccl_23/257-5962531-4262019?psc=1,None,None,R.D. Sharma,775.00,692.00,11%
My First Complete Learning Library: Boxset of 20 Board Books Gift Set for Kids (Horizontal Design),https://www.amazon.in/First-Learning-Library-Box-Set/dp/9388369882/ref=zg_bs_books_sccl_24/257-5962531-4262019?psc=1,Dictionaries,#1,Wonder House Books,"1,499.00",799.00,47%
The 5 AM Club,https://www.amazon.in/AM-Club-Your-Morning-Elevate/dp/9387944891/ref=zg_bs_books_sccl_25/257-5962531-4262019?psc=1,Family & Relationships,#1,Robin Sharma,399.00,231.00,42%
Small Wins Every Day; 100 Powerful Ways to Transform Your Life and Health,https://www.amazon.in/Small-Every-Powerful-Transform-Health/dp/0670099511/ref=zg_bs_books_sccl_26/257-5962531-4262019?psc=1,None,None,Luke Coutinho,399.00,355.00,11%
5000 + Daily Use English Sentences | Kanchan Keshari,https://www.amazon.in/Daily-English-Sentences-Kanchan-Keshari/dp/9394200509/ref=zg_bs_books_sccl_27/257-5962531-4262019?psc=1,"Words, Language & Grammar Reference",#1,Kanchan Keshari,399.00,285.00,29%
"Thinking, Fast & Slow (L)",https://www.amazon.in/Thinking-Fast-Penguin-Press-Non-Fiction/dp/0141033576/ref=zg_bs_books_sccl_28/257-5962531-4262019?psc=1,Analysis & Strategy,#1,Daniel Kahneman,699.00,276.00,61%
Word Power Made Easy [Paperback] Norman Lewis,https://www.amazon.in/Word-Power-Made-Norman-Lewis/dp/0143424688/ref=zg_bs_books_sccl_29/257-5962531-4262019?psc=1,Children's Books on Vocabulary & Spelling,#2,Norman Lewis,175.00,105.00,40%
Ikigai : Japanese Art of staying Young.. While growing Old,https://www.amazon.in/Ikigai-Japanese-staying-Young-growing/dp/9355991479/ref=zg_bs_books_sccl_30/257-5962531-4262019?psc=1,Lifestyle & Personal Style Guides,#1,Keira Miki,200.00,159.00,21%
